epoch,train_loss,val_loss,qwk,accuracy,macro_f1,sensitivity,specificity
1,0.577514728394197,0.3287901093275094,0.7443857010153486,0.8106325184322856,0.398524742165351,0.6203592810656531,0.9806962545816372
2,0.5201022097947067,0.3262971675962456,0.7613072002720342,0.8070107359979304,0.4504640018995628,0.763473053435046,0.9549579275771394
3,0.5040045790876132,0.3992443504966487,0.7568198843824492,0.8080455309791748,0.4710722078968697,0.6622754487052243,0.9755815870358716
4,0.4946788466347314,0.3092923754564494,0.8078613992205539,0.8322338636657612,0.5268911783696673,0.7023952091602423,0.9795413296519484
5,0.4874851561580915,0.2916708174200097,0.8199476578048475,0.8372784891993273,0.5526559503822623,0.7161676642418158,0.9782214154465894
6,0.4828605111553261,0.2838976248359877,0.8251487165253168,0.8393480791618161,0.5687947906085216,0.7167664666366668,0.9802012867546276
7,0.4921912211530167,0.2687579692719887,0.8375364332307416,0.8443927046953822,0.5702675869656003,0.7395209576410053,0.9785513939979292
8,0.4720347001125886,0.2656462498648707,0.8415103161454894,0.8458155477945932,0.5847150704003347,0.726347304954283,0.9811912224086468
9,0.4674436008720254,0.2641670470200132,0.8465982844496936,0.8465916440305264,0.5898119217627329,0.7383233528513033,0.979871308203288
10,0.465143787616956,0.2634787860845582,0.8466797681334732,0.8469796921484931,0.5918660395836749,0.7389221552461543,0.9800362974789578
11,0.475548523142683,0.2627568822411865,0.8503653246319236,0.851248221446126,0.5995286543732844,0.7479041911689196,0.9795413296519484
12,0.4723803987777223,0.2605083668382979,0.8529022917133539,0.8526710645453369,0.6098583588124157,0.7526946103277278,0.9795413296519484
13,0.4692621850745105,0.2581518240804633,0.8536133171979622,0.8547406545078257,0.6183373416965466,0.7508982031431747,0.9818511795113264
14,0.4653233207204557,0.2561660006318738,0.8601101139465569,0.8562928469796921,0.622533757400006,0.7682634725938542,0.9802012867546276
15,0.4629635332131503,0.2563926651996812,0.8554943848797102,0.8562928469796921,0.6319739057236295,0.7718562869629603,0.9793763403762784
